lat,lon,v
10.25,33.75,0.32051282469183207
10.25,34.25,0.10699001722969115
10.25,36.25,3.333333507180214
10.25,38.25,11.635220050811768
10.25,39.75,0.3030302934348583
10.25,40.25,0.8302758447825909
10.25,40.75,0.15151514671742916
10.25,41.75,4.041989566758275
10.25,23.25,0.28363635729659686
9.75,44.25,7.496263273060322
9.75,23.75,0.17294899577444248
9.75,24.25,0.6577581583776256
9.75,33.25,0.8968610316514969
9.75,34.75,0.32051282469183207
9.75,35.75,0.47770701348781586
9.75,36.25,1.3333333656191826
9.75,37.25,2.8301887214183807
9.75,38.25,3.618355095386505
9.75,39.25,1.8867924809455872
9.75,39.75,4.579231888055801
9.75,40.25,25.656121037900448
9.75,40.75,9.357249923050404
9.75,41.25,0.9811320807784796
9.75,41.75,0.44843051582574844
9.75,42.25,1.8665580078959465
9.75,42.75,2.1212121471762657
9.75,21.25,0.013809524143912963
9.75,21.75,0.049714284603084836
9.75,22.75,0.4323725158518011
9.75,23.25,0.04323724894361062
9.25,44.25,2.0303030498325825
9.25,32.25,0.15151514671742916
9.25,33.75,3.999999910593033
9.25,35.75,26.481944415718317
9.25,36.25,24.707212834618986
9.25,36.75,46.394243254326284
9.25,37.25,1.1347221909090877
9.25,38.25,4.979910235852003
9.25,38.75,2.4331528460606933
9.25,39.25,10.166915151057765
9.25,39.75,7.400740357115865
9.25,40.25,11.550482362508774
9.25,40.75,9.763555089011788
9.25,41.25,3.999999910593033
9.25,41.75,0.8908819407224655
9.25,42.25,4.206006228923798
9.25,42.75,3.3211033791303635
9.25,43.25,5.999999865889549
9.25,19.75,0.37769852578639984
9.25,20.25,0.391608400778337
9.25,20.75,0.01880877735939893
9.25,-62.25,4.860000020691326
9.25,-61.75,0.3471428493836096
8.75,100.25,0.18656125630844725
8.75,31.25,0.15151514671742916
8.75,32.75,0.22421525791287422
8.75,33.25,1.054491102695465
8.75,33.75,5.33333346247673
8.75,34.25,0.44843051582574844
8.75,34.75,0.035663339076563716
8.75,35.75,3.3689968462567776
8.75,36.25,3.3336688298732042
8.75,36.75,8.23274850845337
8.75,37.25,1.591744041070342
8.75,37.75,1.515151560306549
8.75,38.25,29.848149977624416
8.75,38.75,25.025862082839012
8.75,39.25,20.54913192987442
8.75,39.75,45.05136990919709
8.75,40.25,4.625080386176705
8.75,40.75,5.806390941143036
8.75,41.75,6.2421525828540325
8.75,42.25,0.6060605868697166
8.75,43.25,1.9999999552965164
8.75,21.25,0.013809524143912963
8.75,-60.25,0.6942856987672192
8.75,-59.75,0.8678571557892221
8.25,43.75,2.666666731238365
8.25,33.25,0.22421525791287422
8.25,34.25,4.448294639587402
8.25,34.75,0.6726457271724939
8.25,36.25,0.035663339076563716
8.25,36.75,5.496854428201914
8.25,37.25,10.400755808223039
8.25,38.25,31.271733134053648
8.25,38.75,43.93061855516862
8.25,39.25,19.63055948726833
8.25,39.75,124.64186400175095
8.25,40.25,6.397941708564758
8.25,40.75,11.466285874485038
8.25,41.75,1.8120668828487396
8.25,42.25,0.7514608092606068
8.25,20.75,0.5746753269975836
7.75,34.25,0.6369426846504211
7.75,34.75,1.4908275566995144
7.75,35.25,1.81818176060915
7.75,35.75,2.229299396276474
7.75,36.25,2.743292832747102
7.75,36.75,2.796178311109543
7.75,37.25,8.149255556054413
7.75,38.25,22.63846213463694
7.75,38.75,19.549157097935677
7.75,39.25,13.146369718015194
7.75,39.75,9.40296824555844
